Title,Rating,Price,Series,color,power_backup,processor_brand,processor,ssd,ram,ram_type,hardsk_capacity,touch_screen,screen_size
"acer Aspire 5 Core i5 8th Gen - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-52G-580Q Thin and Light Laptop  (15.6 inch, Silver, 1.8 kg, With MS Office)",4.1,"₹61,990",Aspire 5,Silver,Upto 8 hours,GDDR5,2 GB,Core i5,8th Gen,No,8 GB,No,39.62 cm (15.6 inch)
"HP 15 Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 15-dc0082TX Laptop  (15.6 inch, Shadow Black, 2.38 kg)",,"₹1,16,941",15,Shadow Black,3 cell,GDDR5,4 GB,Core i7,8th Gen,Yes,128 GB,No,39.62 cm (15.6 inch)
"HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-DQ2100TU Thin and Light Laptop  (14 inch, Jet Black, 1.46 kg, With MS Office)",4.2,"₹40,000",Jet Black,Thin and Light Laptop,3 cell,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"APPLE MacBook Pro Core i5 8th Gen - (8 GB/512 GB SSD/Mac OS Mojave) MV972HN/A  (13.3 inch, Space Grey, 1.37 kg)",4.3,"₹1,59,990",MacBook Pro,Space Grey,Upto 10 hours,Intel,Core i5,Yes,512 GB,8 GB,DDR3,No,33.78 cm (13.3 inch)
"Nexstgo Core i5 8th Gen - (16 GB/512 GB SSD/Windows 10 Pro) NX101 Thin and Light Laptop  (14 inch, Grey, 1.35 kg)",,"₹97,990",Grey,Thin and Light Laptop,3 cell,Intel,Core i5,Yes,512 GB,16 GB,DDR4,No,35.56 cm (14 inch)
"HP Spectre x360 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Pro) 13-ap0121TU 2 in 1 Laptop  (13.3 inch, Poseidon Blue, 1.32 kg, With MS Office)",,"₹1,51,133",Spectre x360,Poseidon Blue,4 cell,Intel,Core i5,Yes,256 GB,8 GB,DDR4,Yes,33.78 cm (13.3 inch)
"Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 10 Home) 13ALC6 Thin and Light Laptop  (13.3 inch, Abyss Blue, 1.31 kg, With MS Office)",,"₹80,990",13ALC6,Yoga 6,Processing & Multitasking,AMD,Ryzen 5 Hexa Core,512 GB,16 GB,DDR4,5500U,Yes,33.78 cm (13.3 inch)
"Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14 ITL 6 Thin and Light Laptop  (14 Inch, Arctic Grey, 1.41 KG, With MS Office)",4.5,"₹56,990",Ideapad Slim 3i (2021),Arctic Grey,Upto 7.5 Hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 Inch)
"Lenovo Thinkpad Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/DOS) E14 AMD Gen3 Thin and Light Laptop  (14 inch, Black, 1.69 kg)",,"₹62,490",E14 AMD Gen 3,Thinkpad,Processing & Multitasking,AMD,Ryzen 5 Hexa Core,512 GB,8 GB,DDR4,5600U,No,35.56 cm (14 inch)
"HP Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Pro) 13-aw0211TU 2 in 1 Laptop  (13.3 inch, Poseidon Blue, 1.27 kg)",5,"₹1,27,990",Spectre x360,Poseidon Blue,65 W AC Adapter,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Yes,33.78 cm (13.3 inch)
"HP 15 Core i7 8th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 15-dc0084TX Laptop  (15.6 inch, Shadow Black, 2.38 kg)",,"₹1,26,873",15,Shadow Black,3 cell,GDDR5,4 GB,Core i7,8th Gen,Yes,128 GB,No,39.62 cm (15.6 inch)
"HP Omen Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1050) 15-ce071TX Gaming Laptop  (15.6 inch, SHadow Black, 2.6 kg)",,"₹1,02,551",Omen,SHadow Black,4 cell,GDDR5,4 GB,Core i5,7th Gen,Yes,128 GB,No,39.62 cm (15.6 inch)
"Nokia PureBook S14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) NKi511TL85S Thin and Light Laptop  (14.1 inch, Black, 1.4 KG)",,"₹56,990",PureBook S14,Black,Up to 6 hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.81 cm (14.1 inch)
"Lenovo IdeaPad 5 Pro Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 14ITL6 Thin and Light Laptop  (14 Inch, Storm Grey, 1.41 kg, With MS Office)",,"₹78,990",14ITL6,IdeaPad 5 Pro,Processing & Multitasking,GDDR6,2 GB,Core i5,11th Gen,Yes,512 GB,No,35.56 cm (14 Inch)
"ASUS Pro P5 Core i7 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Pro) Pro P5 P5440FA Thin and Light Laptop  (14 inch, Grey, 1.26 kg)",,"₹98,912",Pro P5,Grey,65 W AC Adapter,Intel,Core i7,Yes,256 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"ASUS ExpertBook B9 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) ExpertBook B9 B9450FA Thin and Light Laptop  (14 inch, Star Black, 0.995 kg)",,"₹1,09,990",B9450FA-BM0691T,ExpertBook B9,Processing & Multitasking,Intel,Core i5,Yes,512 GB,8 GB,LPDDR3,No,35.56 cm (14 inch)
"ASUS ExpertBook P1 Core i5 10th Gen - (4 GB/1 TB HDD/Windows 10 Pro) ExpertBook P1 P1440FA Thin and Light Laptop  (14 inch, Black, 1.68 kg)",,"₹61,249",P1440FA-FQ2349R,ExpertBook P1,Processing & Multitasking,Intel,Core i5,No,4 GB,DDR4,1 TB,No,35.56 cm (14 inch)
"Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) 16ITH6H Gaming Laptop  (16 inch, Stingray, With MS Office)",,"₹1,54,990",16ITH6H,Legion 5 Pro,Gaming,GDDR6,6 GB,Core i7,11th Gen,Yes,1 TB,"11ax, 2x2",v5.1
"acer Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop  (14 inch, Black, 1.8 Kg)",3.9,"₹38,990",Black,Thin and Light Laptop,No,Intel,Core i7,No,8 GB,DDR4,1 TB,No,35.56 cm (14 inch)
"Lenovo Legion Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG0 Laptop  (15.6 inch, Raven Black, 2.3 KG)",4.3,"₹59,990",Legion,Raven Black,Upto 10 hrs,GDDR5,4 GB,Core i5,9th Gen,Yes,256 GB,No,39.62 cm (15.6 inch)
"ASUS ExpertBook B9 Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Pro) ExpertBook B9 B9450FA Thin and Light Laptop  (14 inch, Star Black, 0.995 kg)",,"₹1,67,990",B9450FA-BM0696R,ExpertBook B9,Processing & Multitasking,Intel,Core i7,Yes,1 TB,16 GB,LPDDR3,No,35.56 cm (14 inch)
"ASUS ExpertBook B9 Core i7 10th Gen - (16 GB/2 TB SSD/Windows 10 Pro) ExpertBook B9 B9450FA Thin and Light Laptop  (14 inch, Star Black, 0.995 kg)",,"₹2,33,990",B9450FA-BM0699R,ExpertBook B9,Processing & Multitasking,Intel,Core i7,Yes,2 TB,16 GB,LPDDR3,No,35.56 cm (14 inch)
"Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 kg)",,"₹72,990",15IHU6,IdeaPad Gaming 3,Gaming,GDDR6,4 GB,Core i5,11th Gen,Yes,512 GB,No,39.62 cm (15.6 Inch)
"HP 14s Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s- ER0502TU Thin and Light Laptop  (14 Inch, Natural Silver, 1.49 KG, With MS Office)",4.4,"₹46,490",14s,Natural Silver,3 Cell,Intel,Core i3,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 Inch)
"Lenovo Yoga 7 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Laptop  (14 Inch, Slate Grey, 1.43 KG, With MS Office)",5,"₹85,990",Yoga 7,Slate Grey,Up to 16 Hours,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Yes,35.56 cm (14 Inch)
"Lenovo Thinkbook Convertible Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) TB14s ITL Yoga 2 in 1 Laptop  (14 inch, Mineral Grey, 1.5 kg, With MS Office)",,"₹99,990",TB14s ITL Yoga,Thinkbook Convertible,Processing & Multitasking,Intel,Core i7,Yes,512 GB,16 GB,DDR4,Yes,35.56 cm (14 inch)
"Lenovo Legion Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) Y540-15IRH-PG0 Gaming Laptop  (15.6 inch, Raven Black, 2.3 kg)",,"₹59,990",Y540-15IRH-PG0,Legion,Gaming,GDDR5,4 GB,Core i5,9th Gen,Yes,512 GB,No,39.62 cm (15.6 inch)
"ALIENWARE Core i7 9th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2070) m15 R2 Gaming Laptop  (15.6 inch, Lunar Light, 2.16 kg, With MS Office)",,"₹2,04,990",Lunar Light,Gaming Laptop,6 cell,GDDR6,8 GB,Core i7,9th Gen,Yes,1 TB,No,39.62 cm (15.6 inch)
"Lenovo Thinkbook Convertible Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) TB14s ITL Yoga 2 in 1 Laptop  (14 inch, Mineral Grey, 1.5 kg, With MS Office)",,"₹89,990",TB14s ITL Yoga,Thinkbook Convertible,Processing & Multitasking,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Yes,35.56 cm (14 inch)
"ASUS Vivobook 15 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) X515EA-BQ312TS Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",4.6,"₹39,990",X515EA-BQ312TS,Vivobook 15,Processing & Multitasking,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"HP 15s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 15s-DR3500TX Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",4.2,"₹64,990",15s,Natural Silver,Upto 12 hours,GDDR5,2 GB,Core i5,11th Gen,Yes,512 GB,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad Gaming 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15IMH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg)",3.9,"₹57,990",IdeaPad Gaming 3,Onyx Black,Upto 8 hours,GDDR6,4 GB,Core i5,10th Gen,Yes,512 GB,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad 5 Pro Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL6 Thin and Light Laptop  (14 inch, Storm Grey, 1.38 kg, With MS Office)",,"₹73,990",IdeaPad 5 Pro,Storm Grey,Upto 10 hours,Intel,Core i5,Yes,512 GB,16 GB,DDR4,No,35.56 cm (14 inch)
"HP Pavilion Aero Ryzen 5 Hexa Core 5600U - (16 GB/512 GB SSD/Windows 10 Home) 13-BE0190AU Thin and Light Laptop  (13.3 inches, Pale Rose Gold, 0.97 kg, With MS Office)",4.5,"₹69,990",Pavilion Aero,Pale Rose Gold,AC Adapter,AMD,Ryzen 5 Hexa Core,512 GB,16 GB,DDR4,5600U,No,33.78 cm (13.3 inches)
"Lenovo Ideapad 720S Core i7 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) 720S-13IKB Thin and Light Laptop  (13.3 inch, Platinum, 1.14 kg, With MS Office)",,"₹86,000",Ideapad 720S,Platinum,Upto 10 hours,Intel,Core i7,Yes,512 GB,8 GB,DDR4,No,33.78 cm (13.3 inch)
"ASUS ExpertBook P2 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Pro/2 GB Graphics) ExpertBook P2 P2451FB Thin and Light Laptop  (14 inch, Star Black, 1.60 kg)",,"₹86,990",P2451FB-EK0093R,ExpertBook P2,Processing & Multitasking,GDDR5,2 GB,Core i5,10th Gen,Yes,512 GB,No,35.56 cm (14 inch)
"ASUS ExpertBook P2 Core i7 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro/2 GB Graphics) ExpertBook P2 P2451FB Thin and Light Laptop  (14 inch, Star Black, 1.60 kg)",,"₹93,990",P2451FB-EK0095R,ExpertBook P2,Processing & Multitasking,GDDR5,2 GB,Core i7,10th Gen,No,8 GB,No,35.56 cm (14 inch)
"acer Swift 5 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) SF514-52T -59JY Thin and Light Laptop  (14 inch, Charcoal Blue, 0.97 kg)",3.8,"₹69,351",Swift 5,Charcoal Blue,Upto 8 hours,Intel,Core i5,Yes,512 GB,8 GB,DDR3,No,35.56 cm (14 inch)
"Lenovo Ideapad Gaming 3 Ryzen 7 Octa Core 4800H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/60 Hz) 15ARH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg)",,"₹98,390",Ideapad Gaming 3,Onyx Black,Upto 6.7 hours,GDDR6,4 GB,Ryzen 7 Octa Core,Yes,256 GB,8 GB,No,39.62 cm (15.6 inch)
"Lenovo Legion Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) Y540-15IRH-PG0 Gaming Laptop  (15.6 inch, Raven Black, 2.3 kg, With MS Office)",4.1,"₹61,990",Legion,Raven Black,Upto 10 hours,GDDR5,4 GB,Core i5,9th Gen,Yes,256 GB,No,39.62 cm (15.6 inch)
"DELL Inspiron Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Inspiron 7391 2 in 1 Laptop  (13.3 inch, Black, 1.45 kg, With MS Office)",,"₹1,08,990",Inspiron,Black,Upto 6 hours,Intel,Core i7,Yes,512 GB,8 GB,DDR4,Yes,33.78 cm (13.3 inch)
"Lenovo Thinkbook Convertible Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) ThinkBook 14s Yoga 2 in 1 Laptop  (14 inch, Mineral grey, 1.5 kg, With MS Office)",,"₹85,990",ThinkBook 14s Yoga,Thinkbook Convertible,Processing & Multitasking,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Yes,35.56 cm (14 inch)
"ASUS Vivobook 14 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X409FA Notebook  (14 inch, Slate Grey, 1.6 kg)",3.6,"₹33,990",X409FA-BV301T,Vivobook 14,Everyday Use,Intel,Core i3,No,4 GB,DDR4,1 TB,No,35.56 cm (14 inch)
"Lenovo ThinkPad Core i5 10th Gen - (16 GB/512 GB HDD/512 GB SSD/Windows 10 Pro) T14 Thin and Light Laptop  (14 Inch, Black, 1.55 KG)",,"₹1,55,411",ThinkPad T14,ThinkPad,Processing & Multitasking,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Yes,35.56 cm (14 Inch)
"Lenovo IdeaPad Gaming 3 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IMH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg, With MS Office)",3.9,"₹63,990",IdeaPad Gaming 3,Onyx Black,Upto 8 hours,GDDR6,4 GB,Core i5,10th Gen,Yes,256 GB,No,39.62 cm (15.6 inch)
"acer Spin 7 Core i7 7th Gen - (8 GB/256 GB SSD/Windows 10 Home) SP714-51 Laptop  (14 inch, Black)",4,"₹1,19,990",Aspire,Spin 7,"Travel & Business, Processing & Multitasking",Intel,Core i7,Yes,256 GB,8 GB,DDR3,Yes,35.56 cm (14 inch)
"HP Envy Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) 15-ep0011TX Laptop  (15.6 inch, Natural Silver, 2.14 kg, With MS Office)",3.3,"₹1,09,990",Envy,Natural Silver,6 cell,GDDR6,4 GB,Core i5,10th Gen,Yes,512 GB,No,39.62 cm (15.6 inch)
"Lenovo Ideapad 720S Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) 720S-13IKB Thin and Light Laptop  (13.3 inch, Platinum, 1.14 kg, With MS Office)",3.3,"₹74,990",Ideapad 720S,Platinum,Upto 10 hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,33.78 cm (13.3 inch)
"Lenovo ThinkPad x390 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Pro) ThinkPad X390 Thin and Light Laptop  (13.3 inch, Black, 1.29 kg)",,"₹1,29,990",ThinkPad x390,Black,Upto 17.6 hours,Intel,Core i7,Yes,512 GB,8 GB,DDR4,No,33.78 cm (13.3 inch)
"Lenovo ThinkPad Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Pro) X13 Thin and Light Laptop  (13.3 Inch, Black, 1.29 KG)",,"₹1,74,527",ThinkPad X13,ThinkPad,Processing & Multitasking,Intel,Core i7,Yes,512 GB,16 GB,DDR4,No,33.78 cm (13.3 Inch)
"acer Swift 7 Core i5 7th Gen - (8 GB/256 GB SSD/Windows 10 Home) SF713-51 Thin and Light Laptop  (13.3 inch, Black, 1.125 kg, With MS Office)",4.4,"₹86,867",Swift 7,Black,Upto 8 hours,Intel,Core i5,Yes,256 GB,8 GB,DDR3,No,33.78 cm (13.3 inch)
"ASUS Pro P5 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Pro) Pro P5 P5440FA Thin and Light Laptop  (14 inch, Grey, 1.22 kg)",,"₹85,990",P5440FA-BM0581R,Pro P5,Processing & Multitasking,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"HP Spectre x360 Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Pro) 13-aw0188TU 2 in 1 Laptop  (13.3 inch, Poseidon Blue, 1.27 kg)",4.2,"₹1,79,990",Spectre x360,Poseidon Blue,65 W AC Adapter,Intel,Core i7,Yes,1 TB,16 GB,DDR4,Yes,33.78 cm (13.3 inch)
"ASUS ExpertBook B9 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Pro) ExpertBook B9 B9450FA Thin and Light Laptop  (14 inch, Star Black, 0.995 kg)",,"₹1,32,790",B9450FA-BM0697R,ExpertBook B9,Processing & Multitasking,Intel,Core i5,Yes,512 GB,8 GB,LPDDR3,No,35.56 cm (14 inch)
"acer Swift 3 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) SF314-57/SF314-57G Thin and Light Laptop  (14 inch, Steel Grey, 1.19 kg)",4.5,"₹64,990",Swift 3,Steel Grey,Upto 12.5 hours,GDDR5,2 GB,Core i5,10th Gen,Yes,512 GB,No,35.56 cm (14 inch)